StartDate,TimeSign,CurrencyCode,CurrencyCodeL,Units,Amount
01.01.2021,0000,036,AUD,1,21.6852
01.01.2021,0000,944,AZN,1,16.6439
01.01.2021,0000,933,BYN,1,10.9477
01.01.2021,0000,975,BGN,1,17.7571
01.01.2021,0000,410,KRW,100,2.6015
01.01.2021,0000,344,HKD,1,3.6472
01.01.2021,0000,208,DKK,1,4.67
01.01.2021,0000,840,USD,1,28.2746
01.01.2021,0000,978,EUR,1,34.7396
01.01.2021,0000,818,EGP,1,1.7956
01.01.2021,0000,392,JPY,10,2.7444
01.01.2021,0000,985,PLN,1,7.6348
01.01.2021,0000,356,INR,10,3.857
01.01.2021,0000,124,CAD,1,22.1154
01.01.2021,0000,191,HRK,1,4.6037
01.01.2021,0000,484,MXN,1,1.4247
01.01.2021,0000,498,MDL,1,1.6413
01.01.2021,0000,376,ILS,1,8.8113
01.01.2021,0000,554,NZD,1,20.3506
01.01.2021,0000,578,NOK,1,3.2957
01.01.2021,0000,710,ZAR,1,1.9284
01.01.2021,0000,643,RUB,10,3.7823
01.01.2021,0000,946,RON,1,7.1366
01.01.2021,0000,360,IDR,1000,2.0119
01.01.2021,0000,682,SAR,1,7.5359
01.01.2021,0000,702,SGD,1,21.3651
01.01.2021,0000,960,XDR,1,40.8829
01.01.2021,0000,398,KZT,100,6.7124
01.01.2021,0000,949,TRY,1,3.8448
01.01.2021,0000,348,HUF,100,9.5181
01.01.2021,0000,826,GBP,1,38.4393
01.01.2021,0000,203,CZK,1,1.3238
01.01.2021,0000,752,SEK,1,3.453
01.01.2021,0000,756,CHF,1,32.0156
01.01.2021,0000,156,CNY,1,4.3333
01.01.2021,0000,012,DZD,10,2.1416
01.01.2021,0000,764,THB,10,9.445
01.01.2021,0000,986,BRL,1,5.4505
01.01.2021,0000,051,AMD,100,5.4105
01.01.2021,0000,936,GHS,1,4.8198
01.01.2021,0000,784,AED,1,7.698
01.01.2021,0000,704,VND,1000,1.2244
01.01.2021,0000,368,IQD,100,1.9366
01.01.2021,0000,364,IRR,10000,6.732
01.01.2021,0000,981,GEL,1,8.6366
01.01.2021,0000,422,LBP,100,1.8756
01.01.2021,0000,434,LYD,1,21.1383
01.01.2021,0000,458,MYR,1,7.0047
01.01.2021,0000,504,MAD,1,3.1763
01.01.2021,0000,901,TWD,10,10.06
01.01.2021,0000,941,RSD,10,2.9536
01.01.2021,0000,417,KGS,10,3.421
01.01.2021,0000,972,TJS,1,2.5022
01.01.2021,0000,050,BDT,10,3.3343
01.01.2021,0000,788,TND,1,10.5192
01.01.2021,0000,934,TMT,1,8.0785
01.01.2021,0000,860,UZS,1000,2.6988
01.01.2021,0000,959,XAU,1,53200.92
01.01.2021,0000,961,XAG,1,744.19
01.01.2021,0000,962,XPT,1,30203.49
01.01.2021,0000,964,XPD,1,66289.52
02.01.2021,0000,036,AUD,1,21.6852
02.01.2021,0000,944,AZN,1,16.6439
02.01.2021,0000,933,BYN,1,10.9477
02.01.2021,0000,975,BGN,1,17.7571
02.01.2021,0000,410,KRW,100,2.6015
02.01.2021,0000,344,HKD,1,3.6472
02.01.2021,0000,208,DKK,1,4.67
02.01.2021,0000,840,USD,1,28.2746
02.01.2021,0000,978,EUR,1,34.7396
02.01.2021,0000,818,EGP,1,1.7956
02.01.2021,0000,392,JPY,10,2.7444
02.01.2021,0000,985,PLN,1,7.6348
02.01.2021,0000,356,INR,10,3.857
02.01.2021,0000,124,CAD,1,22.1154
02.01.2021,0000,191,HRK,1,4.6037
02.01.2021,0000,484,MXN,1,1.4247
02.01.2021,0000,498,MDL,1,1.6413
02.01.2021,0000,376,ILS,1,8.8113
02.01.2021,0000,554,NZD,1,20.3506
02.01.2021,0000,578,NOK,1,3.2957
02.01.2021,0000,710,ZAR,1,1.9284
02.01.2021,0000,643,RUB,10,3.7823
02.01.2021,0000,946,RON,1,7.1366
02.01.2021,0000,360,IDR,1000,2.0119
